Coef_mean,SE_bootstrap,IC_2.5%,IC_97.5%
5.2379871367996325,0.29678562671333414,4.6584794412358965,5.7985773650135215
0.1017911267304245,0.004371967146515871,0.09333435486165326,0.11045436405758036
0.0002399323375504236,1.07558707769449e-05,0.00021804943052877813,0.0002609601473324628
0.04919740282281371,0.006831806392400579,0.035018308029139064,0.062129191178225796
0.0001532764666131412,1.444469006837636e-05,0.0001246772226406879,0.00018200089800945844
2.340526896215976e-06,1.5644931810196306e-05,-2.913927719279863e-05,3.308703312023124e-05
-0.013813773896624661,0.00820906179492979,-0.029534477759829723,0.002198652618535078
0.0027661238003729763,0.00015459571847934684,0.002475996095001228,0.0030676480526589597
0.04619310549176594,0.005806027831452908,0.03438335015686776,0.0569697182865426
9.85997300608252e-06,1.0514474999147658e-06,7.771093489122364e-06,1.181398756927801e-05
