Coef_mean,SE_bootstrap,IC_2.5%,IC_97.5%
5.242083548322248,0.2873626928682719,4.688581049851686,5.800989805273633
0.10156941493897764,0.004341927988115343,0.09345441051409793,0.11013400140274208
0.00023991774824537763,1.0380220846835749e-05,0.0002209024422317985,0.0002607460539863836
0.04910874793252392,0.00689641787839503,0.0353589464813982,0.06300023371093497
0.00015382002233023238,1.4516155877426817e-05,0.00012645281325672253,0.0001818271872549214
2.39122245856479e-06,1.5475079783909392e-05,-2.7836068570707048e-05,3.2596595894026056e-05
-0.013873174509054103,0.008472589411827502,-0.030144579343309236,0.0023446785964853
0.002764647389221104,0.000149603732548268,0.0024737023625110944,0.003054199535358984
0.04609350538261439,0.005680644513721055,0.03451206306456658,0.05660199611125841
9.849048914467447e-06,1.0465880985224797e-06,7.864669445383178e-06,1.1892711888781072e-05
